sourceDataSystem,code,sourceDataCode,sourceDataCodeDef,sourceDataField,notes
FMD,Arthropods,1003,Arthropods,SpecieID,only found in FMD no other data system
FMD,Aspen leaf miner,1010,Aspen leaf miner,SpecieID,only found in FMD no other data system
FMD,Banded killifish,215,Banded killifish,SpecieID,only found in FMD no other data system
FMD,Bear Lake cutthroat trout,247,Bear Lake cutthroat trout,SpecieID,only found in FMD no other data system
FMD,Bear Lake sculpin,268,Bear Lake sculpin,SpecieID,only found in FMD no other data system
FMD,Bear lake whitefish,250,Bear lake whitefish,SpecieID,only found in FMD no other data system
FMD,Bigmouth buffalo,181,Bigmouth buffalo,SpecieID,only found in FMD no other data system
FMD,Birds,128,Birds,SpecieID,only found in FMD no other data system
FMD,Black bass,79,Black bass,SpecieID,only found in FMD no other data system
FMD,Black bullhead,72,Black bullhead,SpecieID,only found in FMD no other data system
FMD,Black crappie,48,Black crappie,SpecieID,only found in FMD no other data system
FMD,Blackside speckled dace;  Coastal speckled dace,204,Blackside speckled dace;  Coastal speckled dace,SpecieID,only found in FMD no other data system
FMD,Blue chub,185,Blue chub,SpecieID,only found in FMD no other data system
FMD,Blue sucker,28,Blue sucker,SpecieID,only found in FMD no other data system
FMD,Blueback trout;  Sunapee trout,254,Blueback trout;  Sunapee trout,SpecieID,only found in FMD no other data system
FMD,Bluegill,51,Bluegill,SpecieID,only found in FMD no other data system
FMD,Bonneville cisco,252,Bonneville cisco,SpecieID,only found in FMD no other data system
FMD,Bonneville cutthroat trout,18,Bonneville cutthroat trout,SpecieID,only found in FMD no other data system
FMD,Bonneville redside shiner,207,Bonneville redside shiner,SpecieID,only found in FMD no other data system
FMD,Bonneville whitefish,253,Bonneville whitefish,SpecieID,only found in FMD no other data system
FMD,Borax Lake chub,148,Borax Lake chub,SpecieID,only found in FMD no other data system
FMD,Boreal chorus frog,277,Boreal chorus frog,SpecieID,only found in FMD no other data system
FMD,Brassy minnow,187,Brassy minnow,SpecieID,only found in FMD no other data system
FMD,Bridgelip sucker,59,Bridgelip sucker,SpecieID,only found in FMD no other data system
FMD,Broad whitefish,245,Broad whitefish,SpecieID,only found in FMD no other data system
FMD,Brook stickleback,218,Brook stickleback,SpecieID,only found in FMD no other data system
FMD,Brown bullhead,71,Brown bullhead,SpecieID,only found in FMD no other data system
FMD,Brown trout,10,Brown trout,SpecieID,only found in FMD no other data system
FMD,Bull trout X Brook trout hybrid,255,Bull trout X Brook trout hybrid,SpecieID,only found in FMD no other data system
FMD,Burbot,69,Burbot,SpecieID,only found in FMD no other data system
FMD,California red-legged frog,159,California red-legged frog,SpecieID,only found in FMD no other data system
FMD,California roach,89,California roach,SpecieID,only found in FMD no other data system
FMD,Catlow tui chub,146,Catlow tui chub,SpecieID,only found in FMD no other data system
FMD,Central mudminnow,213,Central mudminnow,SpecieID,only found in FMD no other data system
FMD,Chiselmouth,43,Chiselmouth,SpecieID,only found in FMD no other data system
FMD,Cisco;  Lake herring,243,Cisco;  Lake herring,SpecieID,only found in FMD no other data system
FMD,Clear Lake tule perch,169,Clear Lake tule perch,SpecieID,only found in FMD no other data system
FMD,Cnidarians,1004,Cnidarians,SpecieID,only found in FMD no other data system
FMD,Coastal cutthroat trout,17,Coastal cutthroat trout,SpecieID,only found in FMD no other data system
FMD,Coastal largescale sucker,258,Coastal largescale sucker,SpecieID,only found in FMD no other data system
FMD,Coastal rainbow trout;  Steelhead,248,Coastal rainbow trout;  Steelhead,SpecieID,only found in FMD no other data system
FMD,Coastal redside shiner,209,Coastal redside shiner,SpecieID,only found in FMD no other data system
FMD,Coastal tailed frog,108,Coastal tailed frog,SpecieID,only found in FMD no other data system
FMD,Coastrange sculpin,266,Coastrange sculpin,SpecieID,only found in FMD no other data system
FMD,Coeur d'Alene salamander,279,Coeur d'Alene salamander,SpecieID,only found in FMD no other data system
FMD,Colorado River cutthroat trout,155,Colorado River cutthroat trout,SpecieID,only found in FMD no other data system
FMD,Columbia sculpin,271,Columbia sculpin,SpecieID,only found in FMD no other data system
FMD,Columbia spotted frog,282,Columbia spotted frog,SpecieID,only found in FMD no other data system
FMD,Common carp,41,Common carp,SpecieID,only found in FMD no other data system
FMD,Convict cichlid,262,Convict cichlid,SpecieID,only found in FMD no other data system
FMD,Crappie,77,Crappie,SpecieID,only found in FMD no other data system
FMD,Crayfish,158,Crayfish,SpecieID,only found in FMD no other data system
FMD,Creek chub,211,Creek chub,SpecieID,only found in FMD no other data system
FMD,Crustaceans,1005,Crustaceans,SpecieID,only found in FMD no other data system
FMD,Delta smelt,161,Delta smelt,SpecieID,only found in FMD no other data system
FMD,Dolly Varden,201,Dolly Varden,SpecieID,only found in FMD no other data system
FMD,Dolly Varden/Arctic char,16,Dolly Varden/Arctic char,SpecieID,only found in FMD no other data system
FMD,Eastern mosquitofish,234,Eastern mosquitofish,SpecieID,only found in FMD no other data system
FMD,Emerald shiner,191,Emerald shiner,SpecieID,only found in FMD no other data system
FMD,Eulachon,105,Eulachon,SpecieID,only found in FMD no other data system
FMD,Fathead minnow,92,Fathead minnow,SpecieID,only found in FMD no other data system
FMD,Finescale dace,32,Finescale dace,SpecieID,only found in FMD no other data system
FMD,Fishes,99,Fishes,SpecieID,only found in FMD no other data system
FMD,Flathead catfish,74,Flathead catfish,SpecieID,only found in FMD no other data system
FMD,Flathead chub,196,Flathead chub,SpecieID,only found in FMD no other data system
